Indice,Valor_Embedding
0,-0.22687163949012756
1,0.036645881831645966
2,0.05323997139930725
3,-0.22322732210159302
4,-0.07997890561819077
5,0.20046520233154297
6,0.11343694478273392
7,0.3042169213294983
8,0.345117449760437
9,0.14669539034366608
10,-0.22890372574329376
11,-0.23467101156711578
12,-0.04097665473818779
13,0.0713614746928215
14,0.153883159160614
15,0.020509475842118263
16,0.10976172238588333
17,-0.02578984573483467
18,0.09468608349561691
19,-0.28132227063179016
20,-0.017542723566293716
21,-0.0016910703852772713
22,-0.08324742317199707
23,-0.15954096615314484
24,-0.03383779525756836
25,-0.05699557065963745
26,-0.09901732206344604
27,0.13453400135040283
28,-0.1135454997420311
29,-0.016221966594457626
30,0.16493764519691467
31,0.18648065626621246
32,-0.04328175634145737
33,0.12518422305583954
34,-0.013297567144036293
35,-0.10295870155096054
36,0.12802143394947052
37,0.14040738344192505
38,-0.3472205400466919
39,0.19863320887088776
40,-0.1034565344452858
41,0.08090406656265259
42,-0.33688563108444214
43,-0.24944444000720978
44,0.024505730718374252
45,0.08500465750694275
46,-0.0408647283911705
47,0.0621580109000206
48,0.31270286440849304
49,0.00044413201976567507
50,-0.08497127890586853
51,-0.26623472571372986
52,0.02111898735165596
53,0.007126315496861935
54,0.07841487228870392
55,0.24332334101200104
56,0.13582760095596313
57,0.3735743761062622
58,-0.07111262530088425
59,0.28336840867996216
60,-0.240768164396286
61,0.033353473991155624
62,-0.04830295592546463
63,-0.20585910975933075
64,0.05483286827802658
65,-0.09190388768911362
66,0.0895843505859375
67,-0.2545202076435089
68,-0.037435125559568405
69,0.02303575910627842
70,0.038309838622808456
71,0.15828204154968262
72,-0.09075304865837097
73,-0.23890265822410583
74,-0.05445816367864609
75,-0.0687052309513092
76,-0.0709354504942894
77,0.17956921458244324
78,-0.17077675461769104
79,-0.10233805328607559
80,0.07811813801527023
81,-0.16884878277778625
82,0.11827117204666138
83,0.06978789716959
84,0.18474896252155304
85,0.09844832122325897
86,-0.006475634407252073
87,0.15299555659294128
88,-0.0032143574208021164
89,0.09392108023166656
90,-0.18809227645397186
91,-0.03169799596071243
92,-0.06237635388970375
93,0.3961576223373413
94,0.029314830899238586
95,0.059430621564388275
96,-0.011950808577239513
97,0.09361889958381653
98,0.2378343790769577
99,0.210077702999115
100,0.008968498557806015
101,-0.00020919903181493282
102,-0.2777125835418701
103,-0.06825035810470581
104,0.20113055408000946
105,0.01573718711733818
106,-0.07221678644418716
107,0.41220822930336
108,0.1748882681131363
109,0.013259220868349075
110,-0.0389920249581337
111,0.273526668548584
112,-0.1372658908367157
113,0.24445271492004395
114,0.2078045904636383
115,-0.13974903523921967
116,-0.047354117035865784
117,-0.07910849153995514
118,-0.2746133804321289
119,-0.11736474931240082
120,0.07556769251823425
121,0.08244947344064713
122,-0.07359384745359421
123,-0.0419512540102005
124,0.020170114934444427
125,0.18290434777736664
126,-0.040119148790836334
127,-0.3367364704608917
128,-0.03605591133236885
129,0.07399305701255798
130,-0.1459711194038391
131,-0.23406973481178284
132,-0.09523588418960571
133,-0.019658280536532402
134,0.16025638580322266
135,-0.2704622447490692
136,0.284967303276062
137,0.2349153757095337
138,-0.014626221731305122
139,0.11801350861787796
140,-0.058983977884054184
141,-0.11321491748094559
142,0.011598585173487663
143,0.2509157359600067
144,-0.09927001595497131
145,-0.12085963785648346
146,-0.3811732828617096
147,0.1061391606926918
148,-0.014593291096389294
149,-0.2129186987876892
150,-0.07158524543046951
151,0.07476348429918289
152,-0.15928372740745544
153,-0.08993946760892868
154,-0.3183844983577728
155,-0.06966114044189453
156,-0.09283499419689178
157,0.21587039530277252
158,-0.06121969223022461
159,0.009231805801391602
160,-0.40761032700538635
161,0.14968694746494293
162,-0.02734002098441124
163,-0.29497358202934265
164,-0.14379091560840607
165,-0.14284472167491913
166,-0.046589795500040054
167,0.12193995714187622
168,0.14034000039100647
169,0.07635746896266937
170,-0.22472569346427917
171,-0.04931052774190903
172,-0.15949703752994537
173,-0.3050752878189087
174,-0.04652681201696396
175,-0.11302541941404343
176,-0.09690690785646439
177,0.0739210844039917
178,0.26386696100234985
179,-0.17363464832305908
180,-0.011277326382696629
181,-0.03216038644313812
182,-0.19293276965618134
183,0.0720231682062149
184,-0.11896777898073196
185,-0.0718730241060257
186,0.0008781533688306808
187,0.10994750261306763
188,0.2550473213195801
189,-0.01666414737701416
190,0.16380515694618225
191,0.08017950505018234
192,-0.019882623106241226
193,-0.1451675444841385
194,0.19526264071464539
195,-0.3412975072860718
196,0.0009351614862680435
197,-0.06942054629325867
198,0.14669518172740936
199,0.06641637533903122
200,0.02543455921113491
201,0.08345447480678558
202,0.4085923135280609
203,0.22084981203079224
204,-0.2925175726413727
205,0.04025527089834213
206,-0.01227211207151413
207,-0.07668119668960571
208,0.06809628754854202
209,-0.06561605632305145
210,0.1957978904247284
211,-0.3930264413356781
212,0.06023631989955902
213,0.07631948590278625
214,0.20148751139640808
215,0.0322411023080349
216,0.12199200689792633
217,-0.28791776299476624
218,0.11856551468372345
219,0.13083459436893463
220,-0.007843107916414738
221,-0.06922612339258194
222,0.10699324309825897
223,0.04688744619488716
224,0.1955433487892151
225,0.007661711424589157
226,0.20229879021644592
227,0.04121971130371094
228,0.20457805693149567
229,-0.13331378996372223
230,-0.016301319003105164
231,-0.010238058865070343
232,0.20089897513389587
233,0.21015605330467224
234,0.26855364441871643
235,-0.036784399300813675
236,0.00893071573227644
237,-0.08308106660842896
238,0.21644183993339539
239,-0.1345493048429489
240,0.1328902691602707
241,-0.181038498878479
242,0.058846164494752884
243,0.07443978637456894
244,0.04271889477968216
245,-0.04704607278108597
246,-0.25990623235702515
247,0.26893240213394165
248,0.1830846667289734
249,-0.20112471282482147
250,0.023440798744559288
251,0.024039728567004204
252,-0.11121729761362076
253,0.05026010423898697
254,-0.2685999870300293
255,-0.023259557783603668
256,-0.011788105592131615
257,0.2815277576446533
258,0.020816922187805176
259,-0.28276076912879944
260,-0.1681860238313675
261,0.05521908774971962
262,0.08203229308128357
263,-0.10000885277986526
264,-0.030707549303770065
265,-0.10711052268743515
266,0.48237502574920654
267,-0.024675309658050537
268,-0.06318747997283936
269,0.12448744475841522
270,0.20762276649475098
271,0.23749247193336487
272,-0.16478531062602997
273,-0.06957624852657318
274,-0.12891224026679993
275,0.1382913440465927
276,0.01943022385239601
277,0.18296997249126434
278,0.1455863118171692
279,0.1111266016960144
280,-0.05164329335093498
281,0.07139788568019867
282,-0.10259620100259781
283,0.05194849148392677
284,0.051556676626205444
285,0.0434890016913414
286,-0.08227773010730743
287,0.19911694526672363
288,-0.22115376591682434
289,-0.023785976693034172
290,-0.4005715250968933
291,-0.04720168560743332
292,-0.11944951862096786
293,-0.17082922160625458
294,0.11600210517644882
295,-0.07914265245199203
296,0.1379951536655426
297,-0.21372178196907043
298,-0.2855648100376129
299,0.20921385288238525
300,0.1089252233505249
301,-0.2661314308643341
302,0.14633139967918396
303,0.10576814413070679
304,0.12566494941711426
305,-0.13088728487491608
306,-0.0507313497364521
307,0.3531551957130432
308,-0.324537992477417
309,0.051094863563776016
310,-0.11318695545196533
311,0.1829266995191574
312,0.14317889511585236
313,-0.3428066372871399
314,0.23603320121765137
315,0.3061814308166504
316,0.38717830181121826
317,-0.13237948715686798
318,-0.0380186103284359
319,-0.1716281920671463
320,0.011139614507555962
321,0.08305881172418594
322,0.35800671577453613
323,-0.06711066514253616
324,0.17743146419525146
325,-0.020363081246614456
326,0.13939087092876434
327,-0.01188088022172451
328,0.08716602623462677
329,-0.09672703593969345
330,-0.13495424389839172
331,-0.31420275568962097
332,-0.10182269662618637
333,0.14046823978424072
334,-0.151155486702919
335,-0.064977265894413
336,-0.13987651467323303
337,0.31660857796669006
338,0.2451539933681488
339,0.16555336117744446
340,-0.1750655472278595
341,0.03602815419435501
342,-0.12650255858898163
343,0.2616453468799591
344,0.14725778996944427
345,0.11698529869318008
346,0.3749648928642273
347,-0.36702460050582886
348,0.23592185974121094
349,0.3349517583847046
350,-0.03898206353187561
351,-0.09309370070695877
352,-0.16696827113628387
353,0.18415625393390656
354,-0.03669310361146927
355,-0.10992839932441711
356,-0.06135544180870056
357,0.19850973784923553
358,-0.07601933181285858
359,-0.04747474566102028
360,0.12911465764045715
361,-0.016464415937662125
362,-0.2740646004676819
363,0.04965757578611374
364,0.4127286672592163
365,-0.13766242563724518
366,0.0014878008514642715
367,0.026706654578447342
368,-0.12383609265089035
369,-0.0812523141503334
370,0.228328138589859
371,0.010283837094902992
372,0.06268676370382309
373,0.4206530451774597
374,-0.014482342638075352
375,-0.1938852071762085
376,0.04394923895597458
377,-0.03799283877015114
378,-0.030262038111686707
379,-0.10899724811315536
380,-0.11275134235620499
381,0.021406296640634537
382,-0.25225740671157837
383,-0.05366852879524231
384,0.1296136975288391
385,0.042375482618808746
386,-0.028826609253883362
387,0.26634588837623596
388,0.1763790249824524
389,-0.1238471269607544
390,0.028744656592607498
391,-0.1650897115468979
392,-0.24833491444587708
393,-0.0024971067905426025
394,-0.0360313281416893
395,0.0172224473208189
396,0.2742323577404022
397,-0.09217330813407898
398,-0.13423258066177368
399,-0.03653409704566002
400,0.27094772458076477
401,-0.020703580230474472
402,0.05894109979271889
403,-0.13778524100780487
404,0.09399561583995819
405,0.13613498210906982
406,0.04755639657378197
407,-0.10984858125448227
408,-0.045104581862688065
409,0.019836384803056717
410,0.09914061427116394
411,-0.04444407671689987
412,-0.009071100503206253
413,-0.25154608488082886
414,0.24126595258712769
415,0.09784106910228729
416,0.05764758959412575
417,0.13905611634254456
418,0.09902861714363098
419,0.1480402797460556
420,-0.1997937113046646
421,0.15948563814163208
422,-0.17407530546188354
423,-0.1788904219865799
424,0.10092158615589142
425,-0.28513962030410767
426,0.10854839533567429
427,-0.2410135567188263
428,-0.0028680134564638138
429,0.12486878782510757
430,0.0442085787653923
431,0.061340078711509705
432,0.2550507187843323
433,0.2656945288181305
434,-0.1146780401468277
435,-0.23288695514202118
436,0.11833452433347702
437,0.007457513362169266
438,0.08475153893232346
439,-0.08930878341197968
440,0.2341099977493286
441,-0.11293763667345047
442,0.07616886496543884
443,0.03598837926983833
444,0.0783456563949585
445,-0.02467489056289196
446,0.22012101113796234
447,-0.0852484405040741
448,-0.11060995608568192
449,-0.03970114514231682
450,0.19374258816242218
451,-0.09436925500631332
452,-0.07474848628044128
453,0.1634167730808258
454,0.030406100675463676
455,-0.1236741915345192
456,-0.12434172630310059
457,0.1219971552491188
458,-0.015308930538594723
459,0.11268768459558487
460,0.07956063747406006
461,-0.24386782944202423
462,-0.26042771339416504
463,0.10045766085386276
464,-0.01470242440700531
465,0.08963477611541748
466,0.01912946254014969
467,0.11875952780246735
468,0.047113172709941864
469,0.030454333871603012
470,0.10578249394893646
471,0.06729505956172943
472,0.1529879868030548
473,-0.05245893821120262
474,0.020059093832969666
475,0.03946573659777641
476,0.13509993255138397
477,0.2370390146970749
478,-0.19743141531944275
479,0.026285331696271896
480,-0.04062260314822197
481,0.09664230793714523
482,-0.11788539588451385
483,0.06569431722164154
484,-0.17051708698272705
485,-0.2665974497795105
486,0.0332631841301918
487,0.024772100150585175
488,0.049314409494400024
489,-0.17872199416160583
490,-0.23241069912910461
491,-0.18127579987049103
492,-0.0025422777980566025
493,-0.4387547969818115
494,-0.2720368802547455
495,0.05192955583333969
496,0.1714274287223816
497,-0.22495296597480774
498,0.20226377248764038
499,-0.012641768902540207
500,0.22645732760429382
501,-0.1963760107755661
502,0.11970967054367065
503,-0.14366978406906128
504,0.06570959836244583
505,-0.184224933385849
506,0.0032457057386636734
507,-0.23997090756893158
508,0.10046220570802689
509,0.25490906834602356
510,0.07878179848194122
511,0.18276816606521606
